time,ax,ay,az,aT
2.646000,0.6810,1.5267,-0.7551,1.834
2.651000,0.7352,1.5015,-0.6407,1.790
2.656000,0.6716,1.4240,-0.7628,1.749
2.661000,0.5324,1.4462,-0.7889,1.731
2.666000,0.4220,1.4686,-0.6602,1.665
2.672000,0.2985,1.3863,-0.6736,1.570
2.676000,0.0984,1.2446,-0.8543,1.513
2.682000,0.0277,1.1418,-0.7249,1.353
2.686000,-0.0122,0.9669,-0.5462,1.111
2.692000,-0.0544,0.8095,-0.5315,0.970
2.697000,-0.0388,0.6495,-0.4687,0.802
2.715000,-0.0472,0.4594,-0.4104,0.618
2.716000,-0.0873,0.3827,-0.3989,0.560
2.717000,-0.1900,0.3979,-0.3556,0.566
2.718000,-0.2772,0.3945,-0.3122,0.574
2.755000,-0.4318,0.3380,-0.3081,0.629
2.756000,-0.5551,0.2256,-0.4170,0.730
2.757000,-0.6486,-0.0143,-0.4483,0.789
2.758000,-0.6742,-0.3375,-0.4641,0.885
